Descriptor,Result
SOXM_M,0.0
SOMM_M,-31529.121277791073
SXXX_M,0.0
SXXM_M,0.0
SXMM_M,0.0
SMMM_M,3635.3741133290027
CCCC_M,-1762.018527870231
CCCN_M,8400.293899463908
CCCO_M,-19913.768803382573
CCCX_M,504.1137026697015
CCCM_M,13359.5302307351
CCNN_M,-6368.33083585171
CCNO_M,-3088.832683340979
CCNX_M,-86.20076317589246
CCNM_M,-5872.05048548054
CCOO_M,18559.58857431419
CCOX_M,318.22368538965384
CCOM_M,18036.613000004294
CCXX_M,346.29509552775517
CCXM_M,0.0
CCMM_M,26.98777853494812
CNNN_M,-24264.891731351676
CNNO_M,-24569.159368758308
CNNX_M,25.88748696387347
CNNM_M,-14931.24108039874
CNOO_M,25891.615642374414
CNOX_M,7.796573187411923
CNOM_M,18062.83226246928
CNXX_M,67.12237121881844
CNXM_M,0.0
CNMM_M,7834.408842935751
COOO_M,-18983.038158504107
COOX_M,71.44345133517118
COOM_M,-6287.5510214640235
COXX_M,7.7845758126791225
COXM_M,0.0
COMM_M,-4516.588181612388
CXXX_M,312.8742919327251
CXXM_M,0.0
CXMM_M,0.0
CMMM_M,11593.602131792926
NNNN_M,7707.851222843494
NNNO_M,-49500.65610887477
NNNX_M,5.952614874761139
NNNM_M,0.0
NNOO_M,23927.488673153075
NNOX_M,39.84632015177351
NNOM_M,33009.74559219977
NNXX_M,111.46651695157425
NNXM_M,0.0
NNMM_M,13489.899165725
NOOO_M,-30389.394005600763
NOOX_M,-56.96404457523715
NOOM_M,-49096.88694877728
NOXX_M,-2.0563060563688964
NOXM_M,0.0
NOMM_M,-8196.690262280776
NXXX_M,12.80008250486236
NXXM_M,0.0
NXMM_M,0.0
NMMM_M,-21231.763967873456
OOOO_M,-16216.029227491665
OOOX_M,-33.33979124510256
OOOM_M,7983.468890580994
OOXX_M,78.33880596311201
OOXM_M,0.0
OOMM_M,-3834.056827775218
OXXX_M,-70.96820941581052
OXXM_M,0.0
OXMM_M,0.0
OMMM_M,13057.55340686196
XXXX_M,196.9772787555887
XXXM_M,0.0
XXMM_M,0.0
XMMM_M,0.0
MMMM_M,0.0
SSSS_Tbol,53503.73009883318
SSSC_Tbol,-3540.986543086076
SSSN_Tbol,6726.517100369412
SSSO_Tbol,-18648.086551889573
SSSX_Tbol,0.0
SSSM_Tbol,-7138.463778743566
SSCC_Tbol,-5277.8437782475485
SSCN_Tbol,-5804.923700635078
SSCO_Tbol,-29148.050385405346
SSCX_Tbol,0.0
SSCM_Tbol,-2170.3366795650227
SSNN_Tbol,0.0
SSNO_Tbol,-4935.946641752129
SSNX_Tbol,0.0
SSNM_Tbol,-44508.541553107585
SSOO_Tbol,28111.62927295269
SSOX_Tbol,0.0
SSOM_Tbol,-58481.67056469702
SSXX_Tbol,0.0
SSXM_Tbol,0.0
SSMM_Tbol,-990.330817618392
SCCC_Tbol,4500.557029201276
SCCN_Tbol,179.7342793000289
SCCO_Tbol,9893.563562185725
SCCX_Tbol,0.0
SCCM_Tbol,-6676.107018575989
SCNN_Tbol,-5078.735597175082
SCNO_Tbol,-4130.856685587225
SCNX_Tbol,0.0
SCNM_Tbol,6150.653107094448
SCOO_Tbol,-816.7027896906745
SCOX_Tbol,0.0
SCOM_Tbol,15367.371363087103
SCXX_Tbol,0.0
SCXM_Tbol,0.0
SCMM_Tbol,-1050.0585598624493
SNNN_Tbol,0.0
SNNO_Tbol,3124.012166839181
SNNX_Tbol,0.0
SNNM_Tbol,2455.666786435178
SNOO_Tbol,466.70966899062466
SNOX_Tbol,0.0
SNOM_Tbol,6087.179228611252
SNXX_Tbol,0.0
SNXM_Tbol,0.0
SNMM_Tbol,-9723.90466679007
SOOO_Tbol,-9264.136696890504
SOOX_Tbol,0.0
SOOM_Tbol,-28134.632095755645
SOXX_Tbol,0.0
SOXM_Tbol,0.0
SOMM_Tbol,-22240.35263233819
SXXX_Tbol,0.0
SXXM_Tbol,0.0
SXMM_Tbol,0.0
SMMM_Tbol,1882.3066073403863
CCCC_Tbol,-2983.8391695966443
CCCN_Tbol,9130.16277688343
CCCO_Tbol,-19309.14539991484
CCCX_Tbol,504.1137919624107
CCCM_Tbol,13072.394990269015
CCNN_Tbol,-7598.276461323155
CCNO_Tbol,-3613.773106351683
CCNX_Tbol,-86.20044990282759
CCNM_Tbol,-5701.052081712944
CCOO_Tbol,19092.254214880362
CCOX_Tbol,318.2234711845049
CCOM_Tbol,17333.250758676404
CCXX_Tbol,346.29529355297655
CCXM_Tbol,0.0
CCMM_Tbol,-785.927316639586
CNNN_Tbol,-26540.863755145292
CNNO_Tbol,-24570.618634943185
